IAT_TABLE,IAT_ROW,IAT_NAME,CLEM_TAG,PROP
Ruminant coefficients,1,SRW,SRWFemale,1
Ruminant coefficients,2,birth_SRW,SRWBirth,1
Ruminant coefficients,3,Critical_cow_wt,CriticalCowWeight,0.01
Ruminant coefficients,4,grwth_coeff1,AgeGrowthRateCoefficient,1
Ruminant coefficients,5,grwth_coeff2,SRWGrowthScalar,1
Ruminant coefficients,6,km_coeff,EMaintEfficiencyCoefficient,1
Ruminant coefficients,7,km_incpt,EMaintEfficiencyIntercept,1
Ruminant coefficients,8,kg_coeff,EGrowthEfficiencyCoefficient,1
Ruminant coefficients,9,kg_incpt,EGrowthEfficiencyIntercept,1
Ruminant coefficients,10,kl_coeff,ELactationEfficiencyCoefficient,1
Ruminant coefficients,11,kl_incpt,ELactationEfficiencyIntercept,1
Ruminant coefficients,12,kme,Kme,1
Ruminant coefficients,13,intake_coeff,IntakeCoefficient,1
Ruminant coefficients,14,intake_incpt,IntakeIntercept,1
Ruminant coefficients,17,IPI_coeff,InterParturitionIntervalCoefficient,1
Ruminant coefficients,18,IPI_incpt,InterParturitionIntervalIntercept,1
Ruminant coefficients,19,birth_rate_coeff,ConceptionRateCoefficient,1
Ruminant coefficients,20,birth_rate_incpt,ConceptionRateIntercept,1
Ruminant coefficients,21,birth_rate_assym,ConceptionRateAsymptote,1
Ruminant coefficients,23,juvenile_mort_coeff,JuvenileMortalityCoefficient,1
Ruminant coefficients,24,juvenile_mort_exp,JuvenileMortalityExponent,1
Ruminant coefficients,25,juvenile_mort_max,JuvenileMortalityMaximum,0.01
Ruminant coefficients,26,wool_coeff,WoolCoefficient,1
Ruminant coefficients,27,cashmere_coeff,CashmereCoefficient,1
Ruminant coefficients,28,Rum_gest_int,GestationLength,1
Ruminant coefficients,29,Milk_offset_day,MilkOffsetDay,1
Ruminant coefficients,30,Milk_Peak_day,MilkPeakDay,1
Ruminant coefficients,31,Milk_Curve_suck,MilkCurveSuckling,1
Ruminant coefficients,32,Milk_Curve_nonsuck,MilkCurveNonSuckling,1
Ruminant coefficients,33,protein_coeff,ProteinCoefficient,1
Ruminant coefficients,34,protein_degrad,ProteinDegradability,1
Ruminant coefficients,35,milk_intake_coeff,MilkIntakeCoefficient,1
Ruminant coefficients,36,milk_intake_incpt,MilkIntakeIntercept,1
Ruminant specifications,23,Mortality_base,MortalityBase,0.01
Ruminant specifications,30,Twin_rate,TwinRate,1
Ruminant specifications,33,Joining_age,MinimumAge1stMating,1
Ruminant specifications,34,Joining_size,MinimumSize1stMating,0.01
Ruminant specifications,35,Milk_max,MilkPeakYield,1
Ruminant specifications,36,Milk_end,MilkingDays,30
