SoilNum                            CropName                           YEAR                               Month                              AmtKg                              
()                                 ()                                 ()                                 ()                                 ()
2                                  MaizeDodoma                        1991                               5                                  500
2                                  MaizeDodoma                        1992                               5                                  600
2                                  MaizeDodoma                        1993                               5                                  1300
2                                  MaizeDodoma                        1994                               5                                  900
2                                  MaizeDodoma                        1995                               5                                  1500
2                                  MaizeDodoma                        1996                               5                                  400
2                                  MaizeDodoma                        1997                               5                                  1500
2                                  MaizeDodoma                        1998                               5                                  1200
2                                  MaizeDodoma                        1999                               5                                  700
2                                  MaizeDodoma                        2000                               5                                  1300
2                                  MaizeDodoma                        2001                               5                                  1200
2                                  MaizeDodoma                        2002                               5                                  500
2                                  MaizeDodoma                        2003                               5                                  1200
2                                  MaizeDodoma                        2004                               5                                  700
2                                  MaizeDodoma                        2005                               5                                  1700
2                                  MaizeDodoma                        2006                               5                                  1300
2                                  MaizeDodoma                        2007                               5                                  700
2                                  MaizeDodoma                        2008                               5                                  400
2                                  MaizeDodoma                        2009                               5                                  1600
2                                  MaizeDodoma                        2010                               5                                  800
2                                  Groundnut                          1991                               4                                  350
2                                  Groundnut                          1992                               4                                  420
2                                  Groundnut                          1993                               4                                  910
2                                  Groundnut                          1994                               4                                  630
2                                  Groundnut                          1995                               4                                  1050
2                                  Groundnut                          1996                               4                                  280
2                                  Groundnut                          1997                               4                                  1050
2                                  Groundnut                          1998                               4                                  840
2                                  Groundnut                          1999                               4                                  489.99999999999994
2                                  Groundnut                          2000                               4                                  910
2                                  Groundnut                          2001                               4                                  840
2                                  Groundnut                          2002                               4                                  350
2                                  Groundnut                          2003                               4                                  840
2                                  Groundnut                          2004                               4                                  489.99999999999994
2                                  Groundnut                          2005                               4                                  1190
2                                  Groundnut                          2006                               4                                  910
2                                  Groundnut                          2007                               4                                  489.99999999999994
2                                  Groundnut                          2008                               4                                  280
2                                  Groundnut                          2009                               4                                  1120
2                                  Groundnut                          2010                               4                                  560
2                                  Sunflower                          1952                               5                                  400
2                                  Sunflower                          1953                               5                                  800
2                                  Sunflower                          1954                               5                                  800
2                                  Sunflower                          1955                               5                                  800
2                                  Sunflower                          1956                               5                                  800
2                                  Sunflower                          1957                               5                                  800
2                                  Sunflower                          1958                               5                                  800
2                                  Sunflower                          1959                               5                                  1500
2                                  Sunflower                          1960                               5                                  1500
2                                  Sunflower                          1961                               5                                  800
2                                  Sunflower                          1962                               5                                  800
2                                  Sunflower                          1963                               5                                  800
2                                  Sunflower                          1964                               5                                  800
2                                  Sunflower                          1965                               5                                  1500
2                                  Sunflower                          1966                               5                                  1500
2                                  Sunflower                          1967                               5                                  800
2                                  Sunflower                          1968                               5                                  1500
2                                  Sunflower                          1969                               5                                  800
2                                  Sunflower                          1970                               5                                  800
2                                  Sunflower                          1971                               5                                  800
