SoilNum                             CropName                            YEAR                                Month                               AmtKg                               Npct
()                                  ()                                  ()                                  ()                                  ()                                  ()
1                                   Native                              1991                                1                                   184                                 1.9
1                                   Native                              1991                                2                                   154                                 1.3
1                                   Native                              1991                                3                                   130                                 1.1000000000000001
1                                   Native                              1991                                4                                   98                                  1
1                                   Native                              1991                                5                                   56                                  0.9
1                                   Native                              1991                                6                                   50                                  0.8
1                                   Native                              1991                                7                                   50                                  0.7
1                                   Native                              1991                                8                                   50                                  0.6
1                                   Native                              1991                                9                                   50                                  0.5
1                                   Native                              1991                                10                                  50                                  0.5
1                                   Native                              1991                                11                                  60                                  1
1                                   Native                              1991                                12                                  204                                 1.3
1                                   Native                              1992                                1                                   220.79999999999998                  1.9
1                                   Native                              1992                                2                                   184.79999999999998                  1.3
1                                   Native                              1992                                3                                   156                                 1.1000000000000001
1                                   Native                              1992                                4                                   117.6                               1
1                                   Native                              1992                                5                                   67.2                                0.9
1                                   Native                              1992                                6                                   60                                  0.8
1                                   Native                              1992                                7                                   60                                  0.7
1                                   Native                              1992                                8                                   60                                  0.6
1                                   Native                              1992                                9                                   60                                  0.5
1                                   Native                              1992                                10                                  60                                  0.5
1                                   Native                              1992                                11                                  72                                  1
1                                   Native                              1992                                12                                  244.79999999999998                  1.3
1                                   Native                              1993                                1                                   478.40000000000003                  1.9
1                                   Native                              1993                                2                                   400.40000000000003                  1.3
1                                   Native                              1993                                3                                   338                                 1.1000000000000001
1                                   Native                              1993                                4                                   254.8                               1
1                                   Native                              1993                                5                                   145.6                               0.9
1                                   Native                              1993                                6                                   130                                 0.8
1                                   Native                              1993                                7                                   130                                 0.7
1                                   Native                              1993                                8                                   130                                 0.6
1                                   Native                              1993                                9                                   130                                 0.5
1                                   Native                              1993                                10                                  130                                 0.5
1                                   Native                              1993                                11                                  156                                 1
1                                   Native                              1993                                12                                  530.4                               1.3
1                                   Native                              1994                                1                                   331.2                               1.9
1                                   Native                              1994                                2                                   277.2                               1.3
1                                   Native                              1994                                3                                   234                                 1.1000000000000001
1                                   Native                              1994                                4                                   176.4                               1
1                                   Native                              1994                                5                                   100.8                               0.9
1                                   Native                              1994                                6                                   90                                  0.8
1                                   Native                              1994                                7                                   90                                  0.7
1                                   Native                              1994                                8                                   90                                  0.6
1                                   Native                              1994                                9                                   90                                  0.5
1                                   Native                              1994                                10                                  90                                  0.5
1                                   Native                              1994                                11                                  108                                 1
1                                   Native                              1994                                12                                  367.2                               1.3
1                                   Native                              1995                                1                                   552                                 1.9
1                                   Native                              1995                                2                                   462                                 1.3
1                                   Native                              1995                                3                                   390                                 1.1000000000000001
1                                   Native                              1995                                4                                   294                                 1
1                                   Native                              1995                                5                                   168                                 0.9
1                                   Native                              1995                                6                                   150                                 0.8
1                                   Native                              1995                                7                                   150                                 0.7
1                                   Native                              1995                                8                                   150                                 0.6
1                                   Native                              1995                                9                                   150                                 0.5
1                                   Native                              1995                                10                                  150                                 0.5
1                                   Native                              1995                                11                                  180                                 1
1                                   Native                              1995                                12                                  612                                 1.3
1                                   Native                              1996                                1                                   147.20000000000002                  1.9
1                                   Native                              1996                                2                                   123.2                               1.3
1                                   Native                              1996                                3                                   104                                 1.1000000000000001
1                                   Native                              1996                                4                                   78.400000000000006                  1
1                                   Native                              1996                                5                                   44.800000000000004                  0.9
1                                   Native                              1996                                6                                   40                                  0.8
1                                   Native                              1996                                7                                   40                                  0.7
1                                   Native                              1996                                8                                   40                                  0.6
1                                   Native                              1996                                9                                   40                                  0.5
1                                   Native                              1996                                10                                  40                                  0.5
1                                   Native                              1996                                11                                  48                                  1
1                                   Native                              1996                                12                                  163.20000000000002                  1.3
1                                   Native                              1997                                1                                   552                                 1.9
1                                   Native                              1997                                2                                   462                                 1.3
1                                   Native                              1997                                3                                   390                                 1.1000000000000001
1                                   Native                              1997                                4                                   294                                 1
1                                   Native                              1997                                5                                   168                                 0.9
1                                   Native                              1997                                6                                   150                                 0.8
1                                   Native                              1997                                7                                   150                                 0.7
1                                   Native                              1997                                8                                   150                                 0.6
1                                   Native                              1997                                9                                   150                                 0.5
1                                   Native                              1997                                10                                  150                                 0.5
1                                   Native                              1997                                11                                  180                                 1
1                                   Native                              1997                                12                                  612                                 1.3
1                                   Native                              1998                                1                                   441.59999999999997                  1.9
1                                   Native                              1998                                2                                   369.59999999999997                  1.3
1                                   Native                              1998                                3                                   312                                 1.1000000000000001
1                                   Native                              1998                                4                                   235.2                               1
1                                   Native                              1998                                5                                   134.4                               0.9
1                                   Native                              1998                                6                                   120                                 0.8
1                                   Native                              1998                                7                                   120                                 0.7
1                                   Native                              1998                                8                                   120                                 0.6
1                                   Native                              1998                                9                                   120                                 0.5
1                                   Native                              1998                                10                                  120                                 0.5
1                                   Native                              1998                                11                                  144                                 1
1                                   Native                              1998                                12                                  489.59999999999997                  1.3
1                                   Native                              1999                                1                                   257.59999999999997                  1.9
1                                   Native                              1999                                2                                   215.6                               1.3
1                                   Native                              1999                                3                                   182                                 1.1000000000000001
1                                   Native                              1999                                4                                   137.19999999999999                  1
1                                   Native                              1999                                5                                   78.399999999999991                  0.9
1                                   Native                              1999                                6                                   70                                  0.8
1                                   Native                              1999                                7                                   70                                  0.7
1                                   Native                              1999                                8                                   70                                  0.6
1                                   Native                              1999                                9                                   70                                  0.5
1                                   Native                              1999                                10                                  70                                  0.5
1                                   Native                              1999                                11                                  84                                  1
1                                   Native                              1999                                12                                  285.59999999999997                  1.3
1                                   Native                              2000                                1                                   478.40000000000003                  1.9
1                                   Native                              2000                                2                                   400.40000000000003                  1.3
1                                   Native                              2000                                3                                   338                                 1.1000000000000001
1                                   Native                              2000                                4                                   254.8                               1
1                                   Native                              2000                                5                                   145.6                               0.9
1                                   Native                              2000                                6                                   130                                 0.8
1                                   Native                              2000                                7                                   130                                 0.7
1                                   Native                              2000                                8                                   130                                 0.6
